ID,release_date,movie,production_budget,domestic_gross,domestic_gross_x,worldwide_gross,worldwide_gross_x,worldwide (without USA),distributor,mpaa_rating,genre
229,"Friday, March 15, 2019",Wonder Park,1.00E+08,0,0,0,0,0,Paramount †Pictures,PG,Adventure
31,"Friday, December 21, 2018",Aquaman,1.60E+08,0,0,0,0,0,Warner †Bros.,PG-13,Action
1141,"Friday, October 12, 2018",Goosebumps 2: Haunted Halloween,3.50E+07,28804812,0.8,39904812,1.1,11100000,Sony †Pictures,PG,Horror
619,"Friday, October 12, 2018",First Man,6.00E+07,30000050,0.5,55500050,0.9,25500000,Universal,PG-13,Drama
2987,"Friday, October 5, 2018",Hevi reissu,3800000,9079,0,9079,0,0,Music †Box †Films,NA,Comedy
200,"Friday, October 5, 2018",Venom,1.00E+08,171125095,1.7,461825095,4.6,290700000,Sony †Pictures,PG-13,Action
1073,"Friday, October 5, 2018",A Star is Born,3.60E+07,126181246,3.5,200881246,5.6,74700000,Warner †Bros.,R,Drama
2797,"Friday, September 28, 2018",Hell Fest,5500000,10751601,2,12527795,2.3,1776194,CBS †Films,R,Horror
1364,"Friday, September 28, 2018",Night School,2.90E+07,66906825,2.3,84406825,2.9,17500000,Universal,PG-13,Comedy
357,"Friday, September 28, 2018",Smallfoot,8.00E+07,66361035,0.8,137161035,1.7,70800000,Warner †Bros.,PG,Adventure
285,"Friday, September 14, 2018",The Predator,8.80E+07,50787159,0.6,127987159,1.5,77200000,20th†Century†Fox,R,Action
1318,"Friday, September 14, 2018",White Boy Rick,3.00E+07,23851700,0.8,23851700,0.8,0,Sony †Pictures,R,Drama
1130,"Friday, August 17, 2018",Mile 22,3.50E+07,36108758,1,64708758,1.8,28600000,STX †Entertainment,R,Action
56,"Friday, August 10, 2018",The Meg,1.50E+08,142700791,1,527100791,3.5,384400000,Warner †Bros.,PG-13,Action
402,"Friday, August 3, 2018",Christopher Robin,7.50E+07,98677443,1.3,186977443,2.5,88300000,Walt †Disney,PG,Adventure
2421,"Friday, July 27, 2018",Teen Titans Go! To The Movies,1.00E+07,29562341,3,51411600,5.1,21849259,Warner †Bros.,PG,Adventure
3271,"Friday, July 20, 2018",Unfriended: Dark Web,1.00E+06,8783985,8.8,9620953,9.6,836968,OTL †Releasing,R,Horror
3223,"Friday, July 20, 2018",Teefa in Trouble,1500000,0,0,98806,0.1,98806,Yash †Raj †Films,NA,Action
131,"Friday, July 13, 2018",Skyscraper,1.25E+08,67796355,0.5,304034615,2.4,236238260,Universal,PG,Action
106,"Friday, July 6, 2018",Ant-Man and the Wasp,1.30E+08,216565229,1.7,617176819,4.7,400611590,Walt †Disney,PG-13,Action
2187,"Wednesday, July 4, 2018",The First Purge,1.30E+07,69086325,5.3,136112145,10.5,67025820,Universal,R,Horror
1118,"Friday, June 29, 2018",Sicario: Day of the Soldado,3.50E+07,50065850,1.4,73285196,2.1,23219346,Sony †Pictures,R,Action
5,"Friday, June 22, 2018",Jurassic World: Fallen Kingdom,1.70E+08,416769345,2.5,1304866322,7.7,888096977,Universal,PG-13,Action
2477,"Friday, June 15, 2018",Gotti,1.00E+07,4286367,0.4,6089100,0.6,1802733,Vertical †Entertainment,R,Drama
1389,"Friday, June 15, 2018",Tag,2.80E+07,54547470,1.9,76844788,2.7,22297318,Warner †Bros.,R,Comedy
1989,"Wednesday, June 13, 2018",Superfly,1.60E+07,20537137,1.3,20723581,1.3,186444,Sony †Pictures,R,Action
2398,"Friday, June 8, 2018",Hereditary,1.00E+07,44069456,4.4,70090779,7,26021323,A24,R,Horror
3147,"Friday, June 8, 2018",Hearts Beat Loud,2.00E+06,2386254,1.2,2420962,1.2,34708,Gunpowder †& †Sky,PG-13,Drama
445,"Friday, June 8, 2018",Ocean 's 8,7.00E+07,139377762,2,296277762,4.2,156900000,Warner †Bros.,PG-13,Action
1850,"Friday, June 1, 2018",Action Point,1.90E+07,5059608,0.3,5103675,0.3,44067,Paramount †Pictures,R,Comedy
1137,"Friday, June 1, 2018",Adrift,3.50E+07,31445011,0.9,57931376,1.7,26486365,STX †Entertainment,PG-13,Drama
158,"Friday, May 18, 2018",Deadpool 2,1.10E+08,318491426,2.9,733809601,6.7,415318175,20th†Century†Fox,R,Action
2388,"Friday, May 18, 2018",Book Club,1.00E+07,68566296,6.9,89643819,9,21077523,Paramount †Pictures,PG-13,Comedy
1282,"Friday, May 11, 2018",Life of the Party,3.00E+07,52856061,1.8,65556061,2.2,12700000,Warner †Bros.,PG-13,Comedy
1214,"Friday, April 20, 2018",I Feel Pretty,3.20E+07,48795601,1.5,91569698,2.9,42774097,STX †Entertainment,PG-13,Comedy
2656,"Friday, April 13, 2018",Borg vs McEnroe,7500000,231346,0,3257078,0.4,3025732,Neon,R,Drama
142,"Friday, April 13, 2018",Rampage,1.20E+08,99345950,0.8,424745950,3.5,325400000,Warner †Bros.,PG-13,Action
